StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,.,ps_0,ps_1,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,ai_tool_use_1,ai_tool_use_2,ai_tool_use_3,ai_tool_use_4,ai_tool_use_5,ai_tool_use_6,ai_tool_use_7,ai_tool_use_8,ai_tool_use_9,ai_tool_use_9_TEXT,ai_tool_context_1,ai_tool_context_2,ai_tool_context_3,ai_tool_context_4,ai_tool_context_5,ai_tool_context_6,ai_tool_context_7,ai_tool_context_8,ai_tool_context_9,ai_tool_context_10,ai_tool_context_11,ai_tool_context_12,ai_tool_context_12_TEXT,gender,education,income,zipcode,profession,profession_59_TEXT,relationship,relationship_8_TEXT,family,family_6_TEXT,race,hispanic,political_leaning,political_leaning_4_TEXT,prior_mental_health,prior_mental_health_8_TEXT,overall_quality,overall_quality_work,overall_quality_pers,fl_satisfaction_1,fl_satisfaction_1_ai,fl_satisfaction_2,fl_satisfaction_2_ai,fl_health_1,fl_health_1_ai,fl_health_2,fl_health_2_ai,fl_purpose_1,fl_purpose_1_ai,fl_purpose_2,fl_purpose_2_ai,fl_character_1,fl_character_1_ai,fl_character_2,fl_character_2_ai,fl_social_1,fl_social_1_ai,fl_social_2,fl_social_2_ai,fl_financial_1,financial_1_ai,attn_2,engagement_1,engagement_1_ai,engagement_2,engagement_2_ai,engagement_3,engagement_3_ai,mastery_skills_1,mastery_skills_1_ai,mastery_skills_2,mastery_skills_2_ai,mastery_skills_3,mastery_skills_3_ai,mastery_learn_1,mastery_learn_2,mastery_learn_3,mastery_accomplish_1,mastery_accomplish_2,mastery_accomplish_3,mastery_efficacy_1,mastery_efficacy_2,mastery_efficacy_3,mastery_worth_1,mastery_worth_2,mastery_worth_3,agency_control_1,agency_control_1_ai,agency_control_2,agency_control_2_ai,agency_control_3,agency_control_3.1,agency_control_4_ai,attn_3,ex_reasoning_1,ex_reasoning_2,ex_reasoning_3,ex_reasoning_4,ex_reasoning_5,ex_reasoning_6,ex_reasoning_7,ex_reasoning_8,ex_reasoning_9,ex_reasoning_10,ex_reasoning_11,ex_reasoning_12,ex_reasoning_13,ex_reasoning_14,ex_reasoning_15,ex_reasoning_16,ex_reasoning_17,ex_creativity_1,ex_creativity_2,ex_creativity_3,ex_creativity_4,ex_creativity_5,ex_creativity_6,ex_creativity_7,ex_creativity_8,ex_creativity_9,ex_creativity_10,ex_creativity_11,bhv_reasoning_1,bhv_reasoning_2,bhv_learn_1,bhv_learn_2,bhv_social_1,bhv_social_2,bhv_purpose_1,bhv_purpose_2,bhv_health_1,bhv_health_2,add_work_1,add_work_2,add_work_3,add_work_4,add_work_5,add_work_6,add_work_7,add_students_1,add_students_2,add_students_3,add_students_4,add_students_5,add_social_1,add_social_2,add_social_3,add_social_4,add_social_5,add_social_6,add_social_7,add_social_8,add_social_9,add_learn_1,add_learn_2,add_learn_3,add_learn_4,add_learn_5,add_learn_6,add_learn_7,add_meaning_1,add_meaning_2,add_meaning_3,add_meaning_4,add_meaning_5,PROLIFIC_PID
2026-04-01 00:59:10,2026-04-01 01:07:58,IP Address,*******,100,528,True,2026-04-01 01:07:58,R_brnTP3fAbnFbmO,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,A few times per week,1-2 hours a day,A few times per week,About once a month,Never,Never,Never,Less than once a month,Never,,About once a day,Never,Several times a day,About once a day,Never,Never,Never,About once a month,A few times per week,Never,Never,Never,,Male,Some college but no degree,"$40,000 to $49,999",81426,Business / Finance / Consulting,,Married,,Live alone,,White or Caucasian,No,Democrat,,Anxiety disorder,,Neither positive nor negative,Slightly negatively,Extremely positive,6,6 = Made this much better,6,4 = Made this a little better,5,5 = Made this better,10 - Excellent,5 = Made this better,7,4 = Made this a little better,4,5 = Made this better,9,2 = Made this a little worse,4,2 = Made this a little worse,7,1 = Made this worse,1,2 = Made this a little worse,2,3 = No real effect,2.0,Agree,3 = No real effect,Neither agree nor disagree,4 = Made this a little better,Strongly Disagree,3 = No real effect,Strongly agree,3 = No real effect,Agree,4 = Made this a little better,Agree,2 = Made this a little worse,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,4 = Made this a little better,Disagree,1 = Made this worse,Strongly Disagree,Neither agree nor disagree,7 = Not applicable / I do not use AI for this,,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Weekly,Weekly,Once,Never,Never,A few times,Weekly,Monthly,Never,Once,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,674dc2643c16554071e14ae5
2026-03-10 08:01:56,2026-03-10 08:30:58,IP Address,*******,100,1742,True,2026-03-10 08:30:58,R_eOV911xCZkwPRQ,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a day,Never,About once a day,Never,Never,Never,Never,Never,Never,,A few times per week,Never,A few times per week,Never,A few times per month,Never,About once a day,Never,A few times per week,Never,A few times per week,Less than once a month,,Male,Bachelor's degree in college (4-year),"$100,000 to $149,999",19358,Product or Program management,,Married,,Live with partner/spouse,,White or Caucasian,No,Independent,,Anxiety disorder,,Slightly positive,Slightly positive,Moderately positive,7,3 = No real effect,8,3 = No real effect,9,4 = Made this a little better,7,4 = Made this a little better,9,5 = Made this better,7,4 = Made this a little better,5,3 = No real effect,8,1 = Made this worse,10 - Completely Agree,3 = No real effect,8,2 = Made this a little worse,3,2 = Made this a little worse,2.0,Agree,6 = Made this much better,Neither agree nor disagree,3 = No real effect,Strongly Disagree,5 = Made this better,Agree,4 = Made this a little better,Neither agree nor disagree,5 = Made this better,Strongly agree,4 = Made this a little better,Strongly agree,Strongly agree,Agree,Strongly Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,3 = No real effect,Strongly Disagree,3 = No real effect,Disagree,Agree,2 = Made this a little worse,,Agree,Agree,Disagree,Agree,Strongly agree,Strongly Disagree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Agree,Never,A few times,A few times,Once,A few times,Never,Never,Monthly,Once,Never,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,92b26fa8adc30543fe5a6e74
2026-03-12 23:20:30,2026-03-12 23:44:39,IP Address,*******,100,1449,True,2026-03-12 23:44:39,R_HUAKw9iEU1jjQK,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,A few times per week,Never,Less than once a month,A few times per month,Never,Never,Never,Never,Never,,About once a day,A few times per month,Never,A few times per month,Less than once a month,Never,Less than once a month,A few times per month,About once a day,About once a month,Never,Never,,Female,Bachelor's degree in college (4-year),"$100,000 to $149,999",60432,Legal / Policy,,Single,,Live alone,,Black or African American,Yes,Republican,,PTSD / trauma,,Moderately positive,Slightly positive,Moderately positive,10 - Completely satisfied,4 = Made this a little better,2,5 = Made this better,6,4 = Made this a little better,8,4 = Made this a little better,7,3 = No real effect,5,2 = Made this a little worse,7,4 = Made this a little better,5,4 = Made this a little better,5,7 = Not applicable / I do not use AI for this,8,3 = No real effect,7,3 = No real effect,2.0,Agree,5 = Made this better,Strongly agree,3 = No real effect,Agree,5 = Made this better,Strongly agree,5 = Made this better,Agree,4 = Made this a little better,Strongly Disagree,4 = Made this a little better,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4 = Made this a little better,Neither agree nor disagree,1 = Made this worse,Strongly Disagree,Disagree,5 = Made this better,,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,A few times,Weekly,Never,A few times,Never,A few times,Never,Never,Never,A few times,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,6f8fd0ba84a167fe482ed4a9
2026-03-08 10:04:14,2026-03-08 10:21:59,IP Address,*******,100,1065,True,2026-03-08 10:21:59,R_VHWGaub52Ztd26,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,A few times per week,A few times per month,Never,1-2 hours a day,5-10 times a day,Never,Never,Never,Never,,About once a day,Never,Several times a day,About once a day,About once a day,About once a month,About once a month,A few times per month,Several times a day,A few times per week,Never,Never,,Male,Master's degree,"$150,000 or more",21226,Software / Engineering / IT,,Married,,Live with partner/spouse,,Multiracial,No,Independent,,Anxiety disorder,,Slightly positive,Slightly positive,Moderately negatively,5,3 = No real effect,7,2 = Made this a little worse,7,4 = Made this a little better,9,3 = No real effect,8,4 = Made this a little better,6,3 = No real effect,4,4 = Made this a little better,4,3 = No real effect,8,3 = No real effect,9,4 = Made this a little better,10 - Do Not Ever Worry,3 = No real effect,2.0,Agree,2 = Made this a little worse,Agree,1 = Made this worse,Agree,4 = Made this a little better,Strongly agree,4 = Made this a little better,Agree,4 = Made this a little better,Agree,3 = No real effect,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly Disagree,2 = Made this a little worse,Disagree,0 = Made this much worse,Strongly Disagree,Strongly Disagree,3 = No real effect,,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Weekly,Never,Never,Weekly,A few times,Never,Never,Never,A few times,A few times,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,bdf82af289fecbb6a5e73108
2026-03-29 13:34:56,2026-03-29 13:47:27,IP Address,*******,100,751,True,2026-03-29 13:47:27,R_aRdebuFrEHS2Jp,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a day,A few times per month,Less than once a month,5-10 times a day,A few times per week,Never,Never,Never,Never,,About once a month,Never,A few times per month,Never,A few times per week,Never,About once a month,A few times per month,Several times a day,Never,Never,A few times per month,,Female,Master's degree,"$30,000 to $39,999",71993,Healthcare / Medicine,,Married,,Live with roommates,,White or Caucasian,No,Democrat,,Depression,,Neither positive nor negative,Slightly positive,Slightly positive,4,2 = Made this a little worse,7,7 = Not applicable / I do not use AI for this,7,3 = No real effect,4,4 = Made this a little better,8,3 = No real effect,3,4 = Made this a little better,7,4 = Made this a little better,4,3 = No real effect,5,3 = No real effect,6,3 = No real effect,4,3 = No real effect,2.0,Agree,5 = Made this better,Strongly agree,4 = Made this a little better,Neither agree nor disagree,5 = Made this better,Agree,2 = Made this a little worse,Neither agree nor disagree,4 = Made this a little better,Neither agree nor disagree,5 = Made this better,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,2 = Made this a little worse,Disagree,1 = Made this worse,Strongly Disagree,Agree,4 = Made this a little better,,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly Disagree,Neither agree nor disagree,Weekly,Never,Never,Monthly,A few times,A few times,Monthly,A few times,Never,Never,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,c31667baf165d337643e7d80
2026-03-27 05:49:50,2026-03-27 05:55:20,IP Address,*******,100,330,True,2026-03-27 05:55:20,R_850kEnydx9qWCA,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,A few times per week,Never,Less than once a month,A few times per week,Never,Never,Never,Never,Less than once a month,,A few times per week,Less than once a month,About once a day,A few times per month,Never,Never,Never,Never,A few times per week,Never,A few times per week,Never,,Female,Bachelor's degree in college (4-year),"Less than $10,000",82845,Compliance / Risk / Ethics (incl. healthcare),,Single,,Live with roommates,,White or Caucasian,No,Democrat,,Other:,,Slightly positive,Moderately positive,Slightly negatively,6,4 = Made this a little better,5,2 = Made this a little worse,8,2 = Made this a little worse,6,5 = Made this better,7,5 = Made this better,10 - Strongly Agree,3 = No real effect,5,3 = No real effect,9,3 = No real effect,0 - Strongly Disagree,3 = No real effect,1,1 = Made this worse,3,2 = Made this a little worse,2.0,Neither agree nor disagree,4 = Made this a little better,Agree,4 = Made this a little better,Neither agree nor disagree,1 = Made this worse,Disagree,3 = No real effect,Neither agree nor disagree,3 = No real effect,Agree,4 = Made this a little better,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,1 = Made this worse,Disagree,1 = Made this worse,Agree,Neither agree nor disagree,4 = Made this a little better,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,A few times,Never,Weekly,Never,A few times,Never,A few times,A few times,Monthly,Never,Strongly Disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly Disagree,a7330b0507e808d11d6f9901
2026-04-01 21:53:42,2026-04-01 22:18:37,IP Address,*******,100,1495,True,2026-04-01 22:18:37,R_JtqPtqiOC56aMI,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a day,A few times per month,Less than once a month,A few times per month,Never,Never,Less than once a month,Never,Never,,A few times per week,Never,About once a day,About once a day,A few times per month,Never,About once a month,A few times per month,Less than once a month,A few times per week,Never,A few times per month,,Male,High school graduate (high school diploma or equivalent including GED),"$70,000 to $79,999",23104,Student,,Married,,Live with parents or family,,Black or African American,No,Independent,,None,,Slightly positive,Neither positive nor negative,Extremely positive,8,1 = Made this worse,7,4 = Made this a little better,7,2 = Made this a little worse,4,2 = Made this a little worse,5,2 = Made this a little worse,9,4 = Made this a little better,7,3 = No real effect,8,4 = Made this a little better,7,1 = Made this worse,6,2 = Made this a little worse,8,3 = No real effect,2.0,Strongly agree,5 = Made this better,Agree,3 = No real effect,Strongly agree,4 = Made this a little better,Agree,5 = Made this better,Strongly agree,4 = Made this a little better,Agree,3 = No real effect,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,1 = Made this worse,Strongly Disagree,4 = Made this a little better,Strongly Disagree,Strongly Disagree,1 = Made this worse,,Disagree,Strongly Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Never,Daily,Weekly,Weekly,Daily,Never,A few times,A few times,A few times,Never,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,134eee52db9fa0d4af211849
2026-03-17 15:29:04,2026-03-17 15:41:00,IP Address,*******,100,716,True,2026-03-17 15:41:00,R_Q0Fp4dNZcui8kB,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a day,Never,About once a day,A few times per week,A few times per week,A few times per month,A few times per month,Never,Never,,About once a day,A few times per week,A few times per week,A few times per week,Never,A few times per week,A few times per week,Never,Several times a day,Never,Never,Never,,Male,Master's degree,"$100,000 to $149,999",66057,Creative / Arts / Media,,Single,,Live with partner/spouse,,Black or African American,No,Republican,,None,,Moderately positive,Moderately positive,Moderately positive,6,4 = Made this a little better,7,1 = Made this worse,5,3 = No real effect,7,3 = No real effect,7,4 = Made this a little better,9,1 = Made this worse,4,5 = Made this better,7,6 = Made this much better,8,5 = Made this better,6,4 = Made this a little better,5,2 = Made this a little worse,2.0,Strongly agree,4 = Made this a little better,Agree,1 = Made this worse,Agree,1 = Made this worse,Neither agree nor disagree,3 = No real effect,Agree,4 = Made this a little better,Agree,4 = Made this a little better,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly Disagree,4 = Made this a little better,Strongly agree,3 = No real effect,Disagree,Agree,2 = Made this a little worse,,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Monthly,Never,Monthly,A few times,Once,Never,Never,Once,A few times,A few times,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly Disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly agree,81fb2058605ef05aa58dfbe3
2026-03-08 21:19:41,2026-03-08 21:30:43,IP Address,*******,100,662,True,2026-03-08 21:30:43,R_2bTu5X1YqWg21n,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,About once a month,A few times per month,A few times per week,A few times per week,About once a day,About once a month,Never,Less than once a month,Never,,Several times a day,A few times per month,About once a day,A few times per month,About once a month,Never,A few times per month,Never,Never,Never,Never,Less than once a month,,Male,Doctoral degree,"$40,000 to $49,999",70332,Healthcare / Medicine,,Married,,"Live with partner/spouse,Live with children",,White or Caucasian,No,Independent,,None,,Extremely positive,Extremely positive,Moderately positive,8,3 = No real effect,4,4 = Made this a little better,6,3 = No real effect,3,5 = Made this better,8,5 = Made this better,8,3 = No real effect,6,3 = No real effect,10 - Completely True of Me,3 = No real effect,4,5 = Made this better,3,2 = Made this a little worse,6,4 = Made this a little better,2.0,Strongly agree,4 = Made this a little better,Agree,4 = Made this a little better,Neither agree nor disagree,2 = Made this a little worse,Strongly agree,4 = Made this a little better,Agree,5 = Made this better,Agree,2 = Made this a little worse,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,2 = Made this a little worse,Strongly Disagree,5 = Made this better,Strongly Disagree,Disagree,2 = Made this a little worse,,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Never,Never,Daily,Daily,Never,Weekly,Monthly,Monthly,A few times,Once,Agree,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly agree,5dd3a641c58ad50e49f095c6
2026-03-25 19:51:03,2026-03-25 19:59:59,IP Address,*******,100,536,True,2026-03-25 19:59:59,R_xJpRa5HSUPwePu,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,Less than once a month,5-10 times a day,About once a month,A few times per week,About once a day,Never,Less than once a month,About once a month,Never,,A few times per week,A few times per week,About once a day,About once a day,A few times per week,Never,A few times per week,Never,A few times per week,Never,Never,Never,,Male,Bachelor's degree in college (4-year),"$50,000 to $59,999",51145,Business / Finance / Consulting,,Single,,Live with partner/spouse,,White or Caucasian,Yes,Republican,,Depression,,Moderately positive,Slightly positive,Slightly positive,9,4 = Made this a little better,7,4 = Made this a little better,8,4 = Made this a little better,5,5 = Made this better,7,1 = Made this worse,4,2 = Made this a little worse,4,0 = Made this much worse,9,3 = No real effect,2,4 = Made this a little better,10 - Completely Agree,2 = Made this a little worse,8,5 = Made this better,2.0,Agree,2 = Made this a little worse,Agree,5 = Made this better,Agree,3 = No real effect,Agree,2 = Made this a little worse,Neither agree nor disagree,4 = Made this a little better,Agree,3 = No real effect,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,2 = Made this a little worse,Strongly Disagree,2 = Made this a little worse,Disagree,Strongly agree,4 = Made this a little better,,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,A few times,Never,Once,A few times,Once,Daily,Never,A few times,Once,Never,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,a1e8a5b83a6b296d43c957a8
